Model,DPO4054
Firmware Version,2.15

Point Format,Y
Horizontal Units,S
Horizontal Scale,4e-07
Sample Interval,4e-10
Record Length,10000
Gating,47.4900% to 52.500%
Probe Attenuation,10
Vertical Units,V
Vertical Offset,0
Vertical Scale,0.1
Label,
TIME,CH1
5.20e-08,-0.189953
5.24e-08,-0.194594
5.28e-08,-0.198219
5.32e-08,-0.2025
5.36e-08,-0.205922
5.40e-08,-0.209406
5.44e-08,-0.212469
5.48e-08,-0.216016
5.52e-08,-0.219703
5.56e-08,-0.223188
5.60e-08,-0.227313
5.64e-08,-0.230734
5.68e-08,-0.233766
5.72e-08,-0.236922
5.76e-08,-0.240031
5.80e-08,-0.243453
5.84e-08,-0.246719
5.88e-08,-0.248563
5.92e-08,-0.250984
5.96e-08,-0.253328
6.00e-08,-0.257031
6.04e-08,-0.260063
6.08e-08,-0.263313
6.12e-08,-0.266453
6.16e-08,-0.268781
6.20e-08,-0.271203
6.24e-08,-0.273109
6.28e-08,-0.276
6.32e-08,-0.279094
6.36e-08,-0.282422
6.40e-08,-0.285781
6.44e-08,-0.288438
6.48e-08,-0.290906
6.52e-08,-0.293281
6.56e-08,-0.295672
6.60e-08,-0.297766
6.64e-08,-0.300578
6.68e-08,-0.303141
6.72e-08,-0.30575
6.76e-08,-0.307828
6.80e-08,-0.309844
6.84e-08,-0.311375
6.88e-08,-0.313094
6.92e-08,-0.314625
6.96e-08,-0.316203
7.00e-08,-0.317953
7.04e-08,-0.319516
7.08e-08,-0.322344
7.12e-08,-0.32475
7.16e-08,-0.327188
7.20e-08,-0.328531
7.24e-08,-0.329672
7.28e-08,-0.331484
7.32e-08,-0.332594
7.36e-08,-0.333891
7.40e-08,-0.3365
7.44e-08,-0.337797
7.48e-08,-0.339062
7.52e-08,-0.340094
7.56e-08,-0.341234
7.60e-08,-0.341938
7.64e-08,-0.342438
7.68e-08,-0.344016
7.72e-08,-0.345391
7.76e-08,-0.347016
7.80e-08,-0.349109
7.84e-08,-0.350672
7.88e-08,-0.352094
7.92e-08,-0.352969
7.96e-08,-0.354344
8.00e-08,-0.356
8.04e-08,-0.357891
8.08e-08,-0.359047
8.12e-08,-0.361125
8.16e-08,-0.362187
8.20e-08,-0.363016
8.24e-08,-0.363719
8.28e-08,-0.364922
8.32e-08,-0.366469
8.36e-08,-0.367375
8.40e-08,-0.367766
8.44e-08,-0.368016
8.48e-08,-0.369172
8.52e-08,-0.369656
8.56e-08,-0.370766
8.60e-08,-0.372141
8.64e-08,-0.372594
8.68e-08,-0.373703
8.72e-08,-0.373984
8.76e-08,-0.375078
8.80e-08,-0.377016
8.84e-08,-0.378281
8.88e-08,-0.380359
8.92e-08,-0.381875
8.96e-08,-0.382719
9.00e-08,-0.383266
9.04e-08,-0.384547
9.08e-08,-0.385031
9.12e-08,-0.386734
9.16e-08,-0.387797
9.20e-08,-0.389031
9.24e-08,-0.390016
9.28e-08,-0.391094
9.32e-08,-0.392313
9.36e-08,-0.393031
9.40e-08,-0.393891
9.44e-08,-0.394313
9.48e-08,-0.394156
9.52e-08,-0.394453
9.56e-08,-0.395437
9.60e-08,-0.39725
9.64e-08,-0.398813
9.68e-08,-0.4
9.72e-08,-0.400391
9.76e-08,-0.400859
9.80e-08,-0.400875
9.84e-08,-0.401344
9.88e-08,-0.401859
9.92e-08,-0.402609
9.96e-08,-0.402984
1.00e-07,-0.403391
1.004e-07,-0.403016
1.008e-07,-0.403078
1.012e-07,-0.402797
1.016e-07,-0.403109
1.020e-07,-0.403938
1.024e-07,-0.404188
1.028e-07,-0.404844
1.032e-07,-0.405313
1.036e-07,-0.406234
1.040e-07,-0.405625
1.044e-07,-0.405813
1.048e-07,-0.406984
1.052e-07,-0.407859
1.056e-07,-0.408313
1.060e-07,-0.409672
1.064e-07,-0.410266
1.068e-07,-0.410625
1.072e-07,-0.410109
1.076e-07,-0.409844
1.080e-07,-0.410469
1.084e-07,-0.410734
1.088e-07,-0.411297
1.092e-07,-0.410719
1.096e-07,-0.411391
1.100e-07,-0.411969
1.104e-07,-0.411688
1.108e-07,-0.412141
1.112e-07,-0.411938
1.116e-07,-0.412641
1.120e-07,-0.412391
1.124e-07,-0.412781
1.128e-07,-0.413359
1.132e-07,-0.414734
1.136e-07,-0.416578
1.140e-07,-0.4175
1.144e-07,-0.418281
1.148e-07,-0.418531
1.152e-07,-0.419297
1.156e-07,-0.418938
1.160e-07,-0.419797
1.164e-07,-0.421141
1.168e-07,-0.421375
1.172e-07,-0.422016
1.176e-07,-0.422828
1.180e-07,-0.423469
1.184e-07,-0.42325
1.188e-07,-0.423391
1.192e-07,-0.423594
1.196e-07,-0.423563
1.200e-07,-0.423656
1.204e-07,-0.423641
1.208e-07,-0.424359
1.212e-07,-0.425672
1.216e-07,-0.426391
1.220e-07,-0.426297
1.224e-07,-0.426453
1.228e-07,-0.426813
1.232e-07,-0.426266
1.236e-07,-0.426047
1.240e-07,-0.4265
1.244e-07,-0.426922
1.248e-07,-0.427125
1.252e-07,-0.426672
1.256e-07,-0.425906
1.260e-07,-0.425297
1.264e-07,-0.424641
1.268e-07,-0.425
1.272e-07,-0.425609
1.276e-07,-0.425656
1.280e-07,-0.426234
1.284e-07,-0.426219
1.288e-07,-0.426344
1.292e-07,-0.425719
1.296e-07,-0.425547
1.300e-07,-0.426047
1.304e-07,-0.426703
1.308e-07,-0.427516
1.312e-07,-0.427734
1.316e-07,-0.427563
1.320e-07,-0.427594
1.324e-07,-0.427344
1.328e-07,-0.427063
1.332e-07,-0.427719
1.336e-07,-0.427719
1.340e-07,-0.427156
